ids,labels,parents,values
Funk1990,Funk,funk1990,1
Funk Carioca1990,Funk Carioca,funk1990,1
disco1990,disco,1990,2
Disco1990,Disco,disco1990,1
Italo Disco1990,Italo Disco,disco1990,1
reggae1990,reggae,1990,1
Reggae1990,Reggae,reggae1990,1
R&B1990,R&B,1990,1
gospel1990,gospel,1990,1
Gospel1990,Gospel,gospel1990,1
dupstep1990,dupstep,1990,0
rap1990,rap,1990,5
Rap Rock1990,Rap Rock,rap1990,1
Midwest Rap1990,Midwest Rap,rap1990,1
Trap1990,Trap,rap1990,1
Pop-Rap1990,Pop-Rap,rap1990,1
Gangsta Rap1990,Gangsta Rap,rap1990,1
folk1990,folk,1990,8
Folk Punk1990,Folk Punk,folk1990,1
Italian Folk1990,Italian Folk,folk1990,1
Neofolk‏‎1990,Neofolk‏‎,folk1990,1
Neofolk1990,Neofolk,folk1990,1
Irish Folk1990,Irish Folk,folk1990,1
Folk Metal1990,Folk Metal,folk1990,1
Folk Rock1990,Folk Rock,folk1990,1
Folk1990,Folk,folk1990,1
bossa nova1990,bossa nova,1990,1
Bossa Nova1990,Bossa Nova,bossa nova1990,1
2000,2000,,2162
hip hop2000,hip hop,2000,5
Hip Hop2000,Hip Hop,hip hop2000,1
French Hip Hop2000,French Hip Hop,hip hop2000,1
Political Hip Hop2000,Political Hip Hop,hip hop2000,1
Australian Hip Hop2000,Australian Hip Hop,hip hop2000,1
Alternative Hip Hop2000,Alternative Hip Hop,hip hop2000,1
pop rock2000,pop rock,2000,1
Pop Rock2000,Pop Rock,pop rock2000,1
rock2000,rock,2000,35
Rap Rock2000,Rap Rock,rock2000,1
Garage Rock2000,Garage Rock,rock2000,1
Deutschrock2000,Deutschrock,rock2000,1
Soft Rock2000,Soft Rock,rock2000,1
Blues Rock2000,Blues Rock,rock2000,1
Indie Rock2000,Indie Rock,rock2000,1
Pop Rock2000,Pop Rock,rock2000,1
Stoner Rock2000,Stoner Rock,rock2000,1
Gothic Rock2000,Gothic Rock,rock2000,1
Comedy Rock2000,Comedy Rock,rock2000,1
Art Rock2000,Art Rock,rock2000,1
Southern Rock2000,Southern Rock,rock2000,1
Hard Rock2000,Hard Rock,rock2000,1
Rock2000,Rock,rock2000,1
Christian Rock2000,Christian Rock,rock2000,1
Psychedelic Rock2000,Psychedelic Rock,rock2000,1
Country Rock2000,Country Rock,rock2000,1
Noise Rock2000,Noise Rock,rock2000,1
Arena Rock2000,Arena Rock,rock2000,1
Experimental Rock2000,Experimental Rock,rock2000,1
Rock 'N' Roll2000,Rock 'N' Roll,rock2000,1
Post-Rock2000,Post-Rock,rock2000,1
Punk Rock2000,Punk Rock,rock2000,1
Piano Rock2000,Piano Rock,rock2000,1
Alternative Rock2000,Alternative Rock,rock2000,1
Electronic Rock2000,Electronic Rock,rock2000,1
Samba-Rock2000,Samba-Rock,rock2000,1
Glam Rock2000,Glam Rock,rock2000,1
Rockabilly2000,Rockabilly,rock2000,1
Latin Rock2000,Latin Rock,rock2000,1
Industrial Rock2000,Industrial Rock,rock2000,1
Symphonic Rock2000,Symphonic Rock,rock2000,1
Brazilian Rock2000,Brazilian Rock,rock2000,1
Progressive Rock2000,Progressive Rock,rock2000,1
Folk Rock2000,Folk Rock,rock2000,1
metal2000,metal,2000,22
Progressive Metal2000,Progressive Metal,metal2000,1
Industrial Metal2000,Industrial Metal,metal2000,1
Symphonic Metal2000,Symphonic Metal,metal2000,1
Doom Metal2000,Doom Metal,metal2000,1
Avant-garde Metal2000,Avant-garde Metal,metal2000,1
Christian Metal2000,Christian Metal,metal2000,1
Pagan Metal2000,Pagan Metal,metal2000,1
Death Metal2000,Death Metal,metal2000,1
Glam Metal2000,Glam Metal,metal2000,1
Gothic Metal2000,Gothic Metal,metal2000,1
Alternative Metal2000,Alternative Metal,metal2000,1
Black Metal2000,Black Metal,metal2000,1
Folk Metal2000,Folk Metal,metal2000,1
Viking Metal2000,Viking Metal,metal2000,1
Power Metal2000,Power Metal,metal2000,1
Post-Metal2000,Post-Metal,metal2000,1
Heavy Metal2000,Heavy Metal,metal2000,1
Thrash Metal2000,Thrash Metal,metal2000,1
Technical Death Metal2000,Technical Death Metal,metal2000,1
Groove Metal2000,Groove Metal,metal2000,1
Symphonic Black Metal2000,Symphonic Black Metal,metal2000,1
Metalcore2000,Metalcore,metal2000,1
electronic2000,electronic,2000,4
Electronicore2000,Electronicore,electronic2000,1
Electronic Rock2000,Electronic Rock,electronic2000,1
Electronic2000,Electronic,electronic2000,1
Electronica2000,Electronica,electronic2000,1
pop2000,pop,2000,21
Britpop2000,Britpop,pop2000,1
J-Pop2000,J-Pop,pop2000,1
Pop Rock2000,Pop Rock,pop2000,1
Synthpop2000,Synthpop,pop2000,1
Indie Pop2000,Indie Pop,pop2000,1
Pop-Rap2000,Pop-Rap,pop2000,1
Bubblegum Pop2000,Bubblegum Pop,pop2000,1
French Pop2000,French Pop,pop2000,1
Electropop2000,Electropop,pop2000,1
Dance-Pop2000,Dance-Pop,pop2000,1
Power Pop2000,Power Pop,pop2000,1
Baroque Pop2000,Baroque Pop,pop2000,1
Latin Pop2000,Latin Pop,pop2000,1
Psychedelic Pop2000,Psychedelic Pop,pop2000,1
Classic Pop2000,Classic Pop,pop2000,1
Pop2000,Pop,pop2000,1
Dream Pop2000,Dream Pop,pop2000,1
Futurepop2000,Futurepop,pop2000,1
Pop Punk2000,Pop Punk,pop2000,1
Country Pop2000,Country Pop,pop2000,1
Europop2000,Europop,pop2000,1
country2000,country,2000,5
Country2000,Country,country2000,1
Alternative Country2000,Alternative Country,country2000,1
Country Rock2000,Country Rock,country2000,1
Country Blues2000,Country Blues,country2000,1
Country Pop2000,Country Pop,country2000,1
blues2000,blues,2000,8
Chicago Blues2000,Chicago Blues,blues2000,1
Soul Blues2000,Soul Blues,blues2000,1
Country Blues2000,Country Blues,blues2000,1
Electric Blues2000,Electric Blues,blues2000,1
Piedmont Blues2000,Piedmont Blues,blues2000,1
Blues Rock2000,Blues Rock,blues2000,1
Delta Blues2000,Delta Blues,blues2000,1
Blues2000,Blues,blues2000,1
soul2000,soul,2000,3
Soul2000,Soul,soul2000,1
Blue-Eyed Soul2000,Blue-Eyed Soul,soul2000,1
Soul Blues2000,Soul Blues,soul2000,1
classical2000,classical,2000,2
Classical2000,Classical,classical2000,1
Indian Classical Music2000,Indian Classical Music,classical2000,1
techno2000,techno,2000,1
Techno2000,Techno,techno2000,1
jazz2000,jazz,2000,4
Jazz2000,Jazz,jazz2000,1
Trad Jazz2000,Trad Jazz,jazz2000,1
Jazz Fusion2000,Jazz Fusion,jazz2000,1
Vocal Jazz2000,Vocal Jazz,jazz2000,1
punk2000,punk,2000,10
Punk Rock2000,Punk Rock,punk2000,1
Post-Punk2000,Post-Punk,punk2000,1
Folk Punk2000,Folk Punk,punk2000,1
Hardcore Punk2000,Hardcore Punk,punk2000,1
Street Punk2000,Street Punk,punk2000,1
Deutschpunk2000,Deutschpunk,punk2000,1
Pop Punk2000,Pop Punk,punk2000,1
Horror Punk2000,Horror Punk,punk2000,1
Ska Punk2000,Ska Punk,punk2000,1
Electropunk2000,Electropunk,punk2000,1
funk2000,funk,2000,3
